"Archivo","Lineas"
"src\features\ventas\ActualizarVenta.jsx","367"
"src\shared\utils\exportGuiaPdf.js","362"
"src\features\rutas\ActualizarRutaProgramacion.jsx","329"
"src\shared\components\FormularioEstandarizado.jsx","328"
"src\shared\styles\theme.js","325"
"src\features\usuarios\ActualizarUsuario.jsx","302"
"src\features\dashboard\Dashboard.jsx","298"
"src\features\conductores\ActualizarConductor.jsx","292"
"src\features\anticipos\ActualizarAnticipoExcedente.jsx","288"
"src\features\ventas\components\wizard\PasoEnvio.jsx","287"
"src\features\rutas\ListarRutaProgramacion.jsx","272"
"src\features\home\Home.jsx","272"
"src\features\ventas\hooks\useVentaWizardForm.js","270"
"src\features\usuarios\RegistrarUsuario.jsx","267"
"src\features\vehiculos\ListarVehiculo.jsx","265"
"src\features\conductores\RegistrarConductor.jsx","261"
"src\shared\contexts\AuthContext.jsx","259"
"src\features\rutas\components\ModalConsultarRutaProgramacion.jsx","255"
"src\features\destinos\ActualizarDestino.jsx","254"
"src\features\clientes\ActualizarCliente.jsx","253"
"src\features\auth\ResetearPassword.jsx","242"
"src\features\propietarios\ActualizarPropietario.jsx","239"
"src\features\rutas\RegistrarRutaProgramacion.jsx","230"
"src\features\conductores\components\ModalConsultarConductor.jsx","230"
"src\features\clientes\RegistrarCliente.jsx","229"
"src\features\auth\Login.jsx","228"
"src\features\ventas\ListarVenta.jsx","226"
"src\features\anticipos\ListarAnticipoExcedente.jsx","226"
"src\features\ventas\hooks\useVentaColumns.jsx","226"
"src\features\conductores\ListarConductor.jsx","224"
"src\features\destinos\RegistrarDestino.jsx","222"
"src\shared\components\DataTable.jsx","221"
"src\features\ventas\RegistrarVenta.jsx","221"
"src\features\destinos\components\ModalConsultarDestino.jsx","218"
"src\features\ventas\components\ModalConsultarVenta.jsx","215"
"src\features\vehiculos\ActualizarVehiculo.jsx","215"
"src\shared\components\CalendarioDisponibilidad.jsx","213"
"src\features\rutas\components\ModalConfirmarEstado.jsx","208"
"src\features\destinos\ListarDestino.jsx","203"
"src\features\rutas\hooks\useRutaColumns.jsx","202"
"src\features\rutas\components\wizard\PasoDestinoPares.jsx","202"
"src\features\propietarios\ListarPropietario.jsx","201"
"src\features\vehiculos\RegistrarVehiculo.jsx","201"
"src\features\propietarios\RegistrarPropietario.jsx","201"
"src\features\usuarios\ListarUsuario.jsx","197"
"src\features\anticipos\components\ModalConsultarAnticipoExcedente.jsx","186"
"src\features\vehiculos\components\ModalConsultarVehiculo.jsx","186"
"src\features\ventas\components\wizard\PasoParticipantes.jsx","185"
"src\features\clientes\ListarCliente.jsx","184"
"src\shared\components\ModalBloqueoInhabilitacion.jsx","184"
"src\features\roles\ActualizarRol.jsx","181"
"src\features\conductores\components\ModalInhabilitarConductor.jsx","178"
"src\shared\components\SelectorHora.jsx","168"
"src\features\anticipos\components\wizard\PasoRutaVehiculo.jsx","167"
"src\features\roles\RegistrarRol.jsx","163"
"src\features\anticipos\RegistrarAnticipoExcedente.jsx","160"
"src\features\anticipos\context\AnticipoExcedenteContext.jsx","156"
"src\shared\utils\exportExcel.js","156"
"src\features\propietarios\components\ModalConsultarPropietario.jsx","155"
"src\features\clientes\components\ModalConsultarCliente.jsx","154"
"src\shared\hooks\useEntityCrud.js","152"
"src\features\roles\ListarRol.jsx","149"
"src\features\rutas\hooks\useEstadoRuta.js","144"
"src\features\anticipos\hooks\useAnticipoColumns.jsx","141"
"src\features\ventas\components\wizard\PasoConfirmacion.jsx","138"
"src\features\vehiculos\hooks\useVehiculoColumns.jsx","136"
"src\shared\layouts\Header.jsx","135"
"src\shared\services\authService.js","135"
"src\features\auth\components\ModalRecuperarPassword.jsx","134"
"src\features\vehiculos\components\ModalInhabilitarVehiculo.jsx","133"
"src\features\roles\components\ModalConsultarRol.jsx","132"
"src\features\paquetesDevueltos\ListarPaqueteDevuelto.jsx","130"
"src\features\ventas\components\ModalInhabilitarVenta.jsx","129"
"src\features\anticipos\components\ModalInhabilitarAnticipo.jsx","128"
"src\features\conductores\utils\conductorValidation.js","122"
"src\features\clientes\components\ModalInhabilitarCliente.jsx","118"
"src\shared\utils\formatters.js","118"
"src\features\usuarios\components\wizard\PasoContactoRol.jsx","116"
"src\features\conductores\context\ConductorContext.jsx","116"
"src\shared\components\TablaPaginacionFooter.jsx","114"
"src\features\anticipos\components\FiltroAnticipo.jsx","112"
"src\shared\layouts\header\HeaderPersonalizationPopover.jsx","110"
"src\features\conductores\hooks\useConductorColumns.jsx","110"
"src\features\roles\components\PermisosGrid.jsx","110"
"src\shared\layouts\header\CambiarPasswordDialog.jsx","109"
"src\shared\components\ConfirmToggleDialog.jsx","108"
"src\features\usuarios\hooks\useUsuarioColumns.jsx","106"
"src\features\ventas\components\wizard\validacion.js","105"
"src\features\propietarios\components\ModalInhabilitarPropietario.jsx","104"
"src\features\rutas\components\ModalInhabilitarRuta.jsx","104"
"src\features\conductores\hooks\useDuplicadoConductor.js","103"
"src\features\rutas\components\FiltroRuta.jsx","103"
"src\features\rutas\components\wizard\PasoHorario.jsx","102"
"src\features\destinos\components\ModalInhabilitarDestino.jsx","102"
"src\shared\components\ToggleSwitch.jsx","102"
"src\features\ventas\context\VentaContext.jsx","100"
"src\features\vehiculos\utils\vehiculoValidation.js","99"
"src\features\rutas\context\RutaProgramacionContext.jsx","99"
"src\features\roles\utils\rolValidation.js","97"
"src\features\paquetesDevueltos\components\FiltroAnioMes.jsx","97"
"src\features\rutas\utils\rutaValidation.js","96"
"src\shared\layouts\sidebar\NavItem.jsx","96"
"src\features\vehiculos\context\VehiculoContext.jsx","94"
"src\shared\hooks\useDisponibilidadRuta.js","94"
"src\features\paquetesDevueltos\hooks\usePaqueteDevueltoColumns.jsx","93"
"src\features\rutas\components\AlertaBloqueoDialog.jsx","93"
"src\features\propietarios\context\PropietarioContext.jsx","93"
"src\features\destinos\context\DestinoContext.jsx","91"
"src\features\ventas\components\ModalCambioPagoVenta.jsx","91"
"src\features\rutas\components\wizard\PasoConfirmacion.jsx","88"
"src\features\ventas\utils\ventaValidation.js","88"
"src\features\ventas\components\ModalCambioEstadoVenta.jsx","88"
"src\features\clientes\hooks\useClienteColumns.jsx","87"
"src\shared\layouts\topnav\TopNavSection.jsx","87"
"src\features\vehiculos\components\wizard\PasoPropietarioDocumentacion.jsx","86"
"src\features\ventas\hooks\useVentaAcciones.js","85"
"src\features\conductores\components\wizard\PasoConfirmacion.jsx","85"
"src\shared\layouts\Sidebar.jsx","85"
"src\features\ventas\components\wizard\PasoPaquetes.jsx","85"
"src\features\clientes\utils\clienteValidation.js","85"
"src\features\destinos\components\wizard\PasoUbicacion.jsx","84"
"src\shared\layouts\sidebar\SidebarFooter.jsx","84"
"src\features\propietarios\utils\propietarioValidation.js","84"
"src\features\roles\hooks\useRolColumns.jsx","84"
"src\features\ventas\components\FiltroVenta.jsx","83"
"src\features\destinos\components\TarifaPorKgControl.jsx","82"
"src\features\vehiculos\components\ModalCambioEstadoVehiculo.jsx","81"
"src\shared\layouts\header\useCambiarPassword.js","80"
"src\features\conductores\components\wizard\PasoContacto.jsx","79"
"src\features\vehiculos\components\FiltroEstadoTipoVehiculo.jsx","77"
"src\features\usuarios\utils\usuarioValidation.js","76"
"src\features\propietarios\hooks\usePropietarioColumns.jsx","75"
"src\shared\layouts\sidebar\SidebarLogoHeader.jsx","75"
"src\features\vehiculos\components\wizard\PasoConfirmacion.jsx","74"
"src\features\destinos\hooks\useDestinoColumns.jsx","73"
"src\shared\layouts\TopNav.jsx","72"
"src\features\usuarios\components\FiltroRol.jsx","71"
"src\shared\layouts\PrivateRoute.jsx","69"
"src\features\vehiculos\components\wizard\PasoDatosVehiculo.jsx","69"
"src\shared\layouts\header\PaletaAnimada.jsx","69"
"src\features\usuarios\components\ModalConsultarUsuario.jsx","69"
"src\features\clientes\context\ClienteContext.jsx","68"
"src\features\propietarios\components\wizard\PasoConfirmacion.jsx","68"
"src\shared\utils\estadoColors.js","67"
"src\features\conductores\services\conductorService.js","67"
"src\features\dashboard\components\FiltroPeriodo.jsx","66"
"src\shared\components\NacionSVG.jsx","66"
"src\features\vehiculos\hooks\useVehiculoAcciones.js","66"
"src\features\dashboard\components\EnviosPorEstadoChart.jsx","64"
"src\features\usuarios\hooks\useDuplicadoUsuario.js","63"
"src\features\clientes\components\wizard\PasoConfirmacion.jsx","63"
"src\shared\utils\horarioLaboral.js","62"
"src\features\rutas\utils\rutaResolvers.js","61"
"src\features\destinos\utils\destinoValidation.js","60"
"src\features\conductores\components\wizard\PasoLicencia.jsx","60"
"src\shared\components\LoadingScreen.jsx","59"
"src\shared\layouts\LayoutAdmin.jsx","58"
"src\features\anticipos\components\ModalConfirmarExcedente.jsx","57"
"src\shared\layouts\header\UserMenu.jsx","55"
"src\features\anticipos\utils\anticipoValidation.js","54"
"src\features\usuarios\components\wizard\PasoConfirmacion.jsx","54"
"src\features\usuarios\components\wizard\PasoDocumento.jsx","54"
"src\features\dashboard\components\IngresosPorMesChart.jsx","54"
"src\features\conductores\components\FiltroEstadoConductor.jsx","53"
"src\features\propietarios\services\propietarioService.js","52"
"src\features\destinos\components\FiltroDepartamento.jsx","52"
"src\features\propietarios\components\FiltroTipoFlota.jsx","52"
"src\shared\config\permisos.js","52"
"src\features\clientes\components\wizard\PasoDocumento.jsx","52"
"src\features\propietarios\components\wizard\PasoDocumento.jsx","52"
"src\shared\components\SessionExpiredDialog.jsx","51"
"src\shared\components\LogoutConfirmDialog.jsx","50"
"src\features\destinos\components\wizard\PasoConfirmacion.jsx","50"
"src\shared\contexts\ConfiguracionContext.jsx","49"
"src\shared\config\navSections.js","49"
"src\shared\layouts\topnav\TopNavItem.jsx","48"
"src\features\clientes\hooks\useDuplicadoCliente.js","48"
"src\features\rutas\hooks\useRutaExport.js","48"
"src\features\anticipos\hooks\useAnticipoAcciones.js","47"
"src\features\ventas\hooks\useVentaExport.js","47"
"src\features\dashboard\components\TopDestinosList.jsx","46"
"src\App.jsx","45"
"src\features\conductores\components\wizard\PasoDocumento.jsx","45"
"src\features\propietarios\hooks\useDuplicadoPropietario.js","45"
"src\shared\utils\documento.js","44"
"src\features\roles\components\DatosRolFields.jsx","44"
"src\shared\layouts\sidebar\useSidebarColors.js","44"
"src\AppRoutes.jsx","42"
"src\shared\utils\vigenciaDocumentos.js","42"
"src\features\rutas\components\VentasConflictoTable.jsx","42"
"src\features\destinos\hooks\useTarifaPorKgEditor.js","42"
"src\features\vehiculos\components\RutasMiniTabla.jsx","42"
"src\features\anticipos\hooks\useAnticipoExport.js","41"
"src\features\anticipos\style\wizardStyles.js","41"
"src\shared\components\CampoFila.jsx","40"
"src\features\anticipos\components\wizard\PasoConfirmacion.jsx","40"
"src\features\dashboard\utils\dashboardFormatters.js","40"
"src\features\ventas\style\wizardStyles.js","39"
"src\shared\contexts\ThemeContext.jsx","39"
"src\features\conductores\style\wizardStyles.js","38"
"src\features\clientes\style\wizardStyles.js","38"
"src\features\vehiculos\style\wizardStyles.js","38"
"src\features\usuarios\style\wizardStyles.js","38"
"src\features\rutas\components\EstadoDot.jsx","37"
"src\features\clientes\hooks\useClienteAcciones.js","37"
"src\features\propietarios\style\wizardStyles.js","36"
"src\features\roles\hooks\useRolAcciones.js","35"
"src\features\rutas\style\wizardStyles.js","35"
"src\features\destinos\style\wizardStyles.js","35"
"src\shared\layouts\sidebar\SectionLabel.jsx","35"
"src\features\dashboard\components\VividKpiCard.jsx","35"
"src\shared\utils\duplicados.js","34"
"src\features\propietarios\hooks\usePropietarioAcciones.js","33"
"src\shared\components\ConfirmRow.jsx","33"
"src\shared\components\PlacaDisplay.jsx","33"
"src\features\conductores\hooks\useConductorAcciones.js","33"
"src\features\usuarios\hooks\useUsuarioAcciones.js","31"
"src\features\rutas\hooks\useRutaAcciones.js","31"
"src\features\rutas\components\RegistrosLinkTable.jsx","30"
"src\features\roles\hooks\useDuplicadoRol.js","29"
"src\features\ventas\components\wizard\PasoPago.jsx","29"
"src\features\clientes\components\wizard\PasoContacto.jsx","29"
"src\features\ventas\components\VentaEstadoDot.jsx","29"
"src\features\propietarios\components\wizard\PasoContactoFlota.jsx","28"
"src\features\roles\components\ModalInhabilitarRol.jsx","28"
"eslint.config.js","28"
"src\features\anticipos\hooks\usePaquetesPorPar.js","28"
"src\features\rutas\components\AnticiposConflictoList.jsx","28"
"src\features\vehiculos\hooks\useDuplicadoVehiculo.js","27"
"src\features\rutas\components\MenuCambioEstadoRuta.jsx","26"
"src\shared\hooks\useDateTime.js","25"
"src\main.jsx","24"
"src\features\dashboard\components\IngresosTooltip.jsx","24"
"src\features\usuarios\components\ModalInhabilitarUsuario.jsx","24"
